OBJECTID,stormid,month,year,AcresOnLand,Shape__Area,Shape__Length,Total_Store_Count,HD_Store_Count,LOW_Store_Count
154,AL162021,09,2021,0,21.1732717178393,31.9530846830883,0,0,0
155,AL162022,10,2022,0,24.4195303171824,23.3269723272912,0,0,0
156,AL162022,11,2022,16663040.572588,621.361290969773,150.160724884064,0,0,0
157,AL162023,09,2023,32150549.7929855,71.7510686638511,38.6592915425525,237,139,98
158,al172017,10,2017,0,131.408943710266,83.0428607452103,0,0,0
159,AL172019,10,2019,42369998.7252243,29.8580014854515,39.3890346282541,71,37,34
160,AL172020,09,2020,53904.6797916544,458.654062723395,228.859396066618,0,0,0
161,AL172021,09,2021,0,15.8983645742644,34.8804008034367,0,0,0
162,AL172022,11,2022,60748420.9676761,183.362723521724,71.0792995778941,298,167,131
163,AL172023,09,2023,0,73.370152978801,57.6490851325066,0,0,0
164,AL172023,10,2023,1009797.12154267,82.7043223988927,61.4106081218011,1,1,0
165,al182017,10,2017,5731047.97028184,8.57074215396779,12.9266173281352,0,0,0
166,AL182019,10,2019,0,72.3207388720329,104.793987237531,0,0,0
167,AL182020,09,2020,99676.154291809,14.8655193505236,46.3690352365162,0,0,0
168,AL182021,09,2021,0,70.3686005275535,76.5300921818161,0,0,0
169,AL182021,10,2021,0,523.837744251978,153.534229920889,0,0,0
170,AL182023,09,2023,0,21.9848850217968,32.0240663247055,0,0,0
171,AL182023,10,2023,0,2.56559344411698,11.3352967340013,0,0,0
172,AL192017,11,2017,0,66.4675056543036,56.7945139251756,0,0,0
173,AL192019,10,2019,40497.1446402745,360.160950432601,71.3421579015494,0,0,0
174,AL192019,11,2019,40497.1446402745,9.59037257245552,16.83752106378,0,0,0
175,AL192020,09,2020,21828194.5169651,31.599413513728,37.2663162418784,83,52,31
176,AL192021,09,2021,0,8.64609375789507,14.2116073278581,0,0,0
177,AL192023,10,2023,0,11.9930167967089,31.9225246244935,0,0,0
178,AL202019,11,2019,20451558.4088832,284.025143004541,195.046045331251,0,0,0
179,AL202020,09,2020,70134176.7298369,419.010565865963,148.53524810042,7,4,3
180,AL202021,09,2021,0,8.59352734835478,18.2758021692021,0,0,0
181,AL202021,10,2021,0,21.8479861566158,26.0324293512538,0,0,0
182,AL202023,10,2023,989686.889666625,141.217312371228,110.913928032799,0,0,0
183,AL212020,09,2020,0,20.4042148386703,32.0401883240907,0,0,0
184,AL212021,10,2021,86903797.9546111,317.389143419916,114.799124155285,375,259,116
185,AL212021,11,2021,0,48.1977309861649,75.6682862712314,0,0,0
186,AL222020,09,2020,15769172.7137573,33.7059757081627,29.8256769770949,78,49,29
187,AL232020,09,2020,0,32.8449657800538,54.2824838326332,0,0,0
188,AL242020,09,2020,933464.754066929,116.679586801527,76.7694317584106,0,0,0
